Day,Natural Gas Spot Price Dollars per Million Btu
1/1/2018,6.11
1/2/2018,6.11
1/3/2018,6.24
1/4/2018,4.65
1/5/2018,3.67
1/8/2018,2.89
1/9/2018,2.93
1/10/2018,3.16
1/11/2018,3.16
1/12/2018,4.06
1/16/2018,5.46
1/17/2018,3.92
1/18/2018,3.92
1/19/2018,3.2
1/22/2018,3.13
1/23/2018,3.35
1/24/2018,3.54
1/25/2018,3.54
1/26/2018,3.58
1/29/2018,3.6
1/30/2018,3.6
1/31/2018,3.34
2/1/2018,3.06
2/2/2018,2.91
2/5/2018,2.85
2/6/2018,2.75
2/7/2018,2.74
2/8/2018,2.74
2/9/2018,2.66
2/12/2018,2.6
2/13/2018,2.58
2/14/2018,2.53
2/15/2018,2.49
2/16/2018,2.49
2/20/2018,2.61
2/21/2018,2.65
2/22/2018,2.65
2/23/2018,2.58
2/26/2018,2.6
2/27/2018,2.59
2/28/2018,2.66
3/1/2018,2.67
3/2/2018,2.67
3/5/2018,2.7
3/6/2018,2.7
3/7/2018,2.8
3/8/2018,2.8
3/9/2018,2.71
3/12/2018,2.78
3/13/2018,2.76
3/14/2018,2.69
3/15/2018,2.7
3/16/2018,2.62
3/19/2018,2.62
3/20/2018,2.71
3/21/2018,2.74
3/22/2018,2.62
3/23/2018,2.58
3/26/2018,2.63
3/27/2018,2.6
3/28/2018,2.64
3/29/2018,2.81
4/2/2018,2.75
4/3/2018,2.75
4/4/2018,2.81
4/5/2018,2.81
4/6/2018,2.81
4/9/2018,2.78
4/10/2018,2.78
4/11/2018,2.74
4/12/2018,2.76
4/13/2018,2.82
4/16/2018,2.88
4/17/2018,2.84
4/18/2018,2.85
4/19/2018,2.8
4/20/2018,2.78
4/23/2018,2.78
4/24/2018,2.79
4/25/2018,2.81
4/26/2018,2.81
4/27/2018,2.82
4/30/2018,2.75
5/1/2018,2.75
5/2/2018,2.77
5/3/2018,2.75
5/4/2018,2.75
5/7/2018,2.74
5/8/2018,2.77
5/9/2018,2.75
5/10/2018,2.78
5/11/2018,2.75
5/14/2018,2.84
5/15/2018,2.83
5/16/2018,2.85
5/17/2018,2.75
5/18/2018,2.75
5/21/2018,2.77
5/22/2018,2.76
5/23/2018,2.89
5/24/2018,2.88
5/25/2018,2.88
5/29/2018,2.84
5/30/2018,2.83
5/31/2018,2.94
