Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/1/2018 0:00,N.Y.C.,5670,5
1/1/2018 1:00,N.Y.C.,5540,6
1/1/2018 2:00,N.Y.C.,5391,7
1/1/2018 3:00,N.Y.C.,5268,8
1/1/2018 4:00,N.Y.C.,5220,9
1/1/2018 5:00,N.Y.C.,5259,10
1/1/2018 6:00,N.Y.C.,5343,11
1/1/2018 7:00,N.Y.C.,5383,12
1/1/2018 8:00,N.Y.C.,5473,13
1/1/2018 9:00,N.Y.C.,5668,14
1/1/2018 10:00,N.Y.C.,5837,15
1/1/2018 11:00,N.Y.C.,5959,16
1/1/2018 12:00,N.Y.C.,6043,17
1/1/2018 13:00,N.Y.C.,6090,18
1/1/2018 14:00,N.Y.C.,6126,19
1/1/2018 15:00,N.Y.C.,6159,20
1/1/2018 16:00,N.Y.C.,6271,21
1/1/2018 17:00,N.Y.C.,6539,22
1/1/2018 18:00,N.Y.C.,6606,23
1/1/2018 19:00,N.Y.C.,6589,0
1/1/2018 20:00,N.Y.C.,6520,1
1/1/2018 21:00,N.Y.C.,6383,2
1/1/2018 22:00,N.Y.C.,6156,3
1/1/2018 23:00,N.Y.C.,5855,4
1/2/2018 0:00,N.Y.C.,5683,5
1/2/2018 1:00,N.Y.C.,5476,6
1/2/2018 2:00,N.Y.C.,5348,7
1/2/2018 3:00,N.Y.C.,5296,8
1/2/2018 4:00,N.Y.C.,5326,9
1/2/2018 5:00,N.Y.C.,5527,10
1/2/2018 6:00,N.Y.C.,5943,11
1/2/2018 7:00,N.Y.C.,6379,12
1/2/2018 8:00,N.Y.C.,6646,13
1/2/2018 9:00,N.Y.C.,6842,14
1/2/2018 10:00,N.Y.C.,6924,15
1/2/2018 11:00,N.Y.C.,6947,16
1/2/2018 12:00,N.Y.C.,6945,17
1/2/2018 13:00,N.Y.C.,6939,18
1/2/2018 14:00,N.Y.C.,6917,19
1/2/2018 15:00,N.Y.C.,6942,20
1/2/2018 16:00,N.Y.C.,7044,21
1/2/2018 17:00,N.Y.C.,7260,22
1/2/2018 18:00,N.Y.C.,7196,23
1/2/2018 19:00,N.Y.C.,7065,0
1/2/2018 20:00,N.Y.C.,6900,1
1/2/2018 21:00,N.Y.C.,6656,2
1/2/2018 22:00,N.Y.C.,6323,3
1/2/2018 23:00,N.Y.C.,5925,4
1/3/2018 0:00,N.Y.C.,5644,5
1/3/2018 1:00,N.Y.C.,5424,6
1/3/2018 2:00,N.Y.C.,5287,7
1/3/2018 3:00,N.Y.C.,5233,8
1/3/2018 4:00,N.Y.C.,5271,9
1/3/2018 5:00,N.Y.C.,5505,10
1/3/2018 6:00,N.Y.C.,6003,11
1/3/2018 7:00,N.Y.C.,6511,12
1/3/2018 8:00,N.Y.C.,6786,13
1/3/2018 9:00,N.Y.C.,6963,14
1/3/2018 10:00,N.Y.C.,7018,15
1/3/2018 11:00,N.Y.C.,7029,16
1/3/2018 12:00,N.Y.C.,7016,17
1/3/2018 13:00,N.Y.C.,7004,18
1/3/2018 14:00,N.Y.C.,6982,19
1/3/2018 15:00,N.Y.C.,7022,20
1/3/2018 16:00,N.Y.C.,7145,21
1/3/2018 17:00,N.Y.C.,7347,22
1/3/2018 18:00,N.Y.C.,7243,23
1/3/2018 19:00,N.Y.C.,7083,0
1/3/2018 20:00,N.Y.C.,6893,1
1/3/2018 21:00,N.Y.C.,6638,2
1/3/2018 22:00,N.Y.C.,6285,3
1/3/2018 23:00,N.Y.C.,5852,4
1/4/2018 0:00,N.Y.C.,5479,5
1/4/2018 1:00,N.Y.C.,5238,6
1/4/2018 2:00,N.Y.C.,5094,7
1/4/2018 3:00,N.Y.C.,5032,8
1/4/2018 4:00,N.Y.C.,5061,9
1/4/2018 5:00,N.Y.C.,5293,10
1/4/2018 6:00,N.Y.C.,5793,11
1/4/2018 7:00,N.Y.C.,6329,12
1/4/2018 8:00,N.Y.C.,6644,13
1/4/2018 9:00,N.Y.C.,6891,14
